AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Gibran, Gibran Kahlil",Gli dèi della terra - La tempesta,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 94,1993,95
"Andrić, Ivo",Racconti di Sarajevo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 95,1993,92
"Vian, Boris",Non vorrei crepare,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 96,1993,97
"Pirandello, Luigi",Questa sera si recita a soggetto,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 97,1993,92
Kurdi,Canti d'amore e di libertà del popolo kurdo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 99,1993,88
"Alighieri, Dante",Divina Commedia. Inferno - Purgatorio - Paradiso,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 100,1993,97
"Woolf, Virginia",Una stanza tutta per sé,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 101,1993,94
"Bulgakov, Michail",Le uova fatali. La storia di un'invasione di rettili giganti in un capolavoro della letteratura fantascientifica,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 102,1993,97
"Da Vinci, Leonardo","Aforismi, novelle e profezie",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 103,1993,95
"Meyrink, Gustav",Racconti agghiaccianti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 104,1993,97
"Bernardi, Carlo",L'ombra del suicidio (Lo strano Conserti). Romanzo inedito del 1936,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 105,1993,95
"Shakespeare, William",Molto rumore per nulla,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 106,1993,97
Aladino,Aladino e la lampada meravigliosa,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 107,1993,96
"Foscolo, Ugo",Ultime lettere di Jacopo Ortis,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 108,1993,97
"Goethe, Johann Wolfgang",Elegie romane - Epigrammi veneziani,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 109,1993,97
Epicuro,Massime e aforismi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 110,1993,89
"Schiller, Friedrich",Il Visionario,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 111,1993,97
"Twain, Mark",La banconota da un milione di sterline e altri racconti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 112,1993,91
"Della Casa, Giovanni",Galateo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 113,1993,87
Arie,Le più belle arie d'opera,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 114,1993,93
"D'Agata, Giuseppe",Il medico della mutua,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 115,1993,126
"Hesse, Herman",Aforismi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 116,1993,95
"Gibran, Gibran Kahlil",Aforismi. Sabbia e spuma,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 117,1993,93
"Pound, Ezra",Aforismi e detti memorabili,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 118,1993,91
"Karr, Alphonse","Aforismi sulle donne, sull'uomo e sull'amore",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 119,1993,93
"Nietzsche, Friedrich W.",Aforismi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 120,1993,94
"Dickens, Charles",Il patto col fantasma,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 123,1993,96
"Marx, Karl - Engels, Friedrich",Manifesto del partito comunista,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 126,1994,95
Ippocrate,Aforismi - Giuramento,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 127,1994,90
"Petrolini, Ettore","Macchiette, lazzi, colmi e parodie",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 128,1994,93
"Lawrence, D.H.",La vergine e lo zingaro,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 130,1994,96
"Wharton, Edith",Ethan Frome,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 131,1994,96
"Hoffmann Price, E. - Stroup, G. - Burks, A. - Graham, A. - Lieferant, H.",Le case maledette. 5 agghiaccianti avventure nelle case dell'orrore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 132,1994,90
"Crane, Stephen",Il segno rosso del coraggio,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 133,1994,98
"Stampa, Gaspara",I sonetti d'amore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 134,1994,96
"Bellemère, Gilles",Le quindici gioie del matrimonio,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 135,1994,93
"Wilde, Oscar",L'amore e le donne. Aforismi. Con 30 figure femminili di Aubrey Beardsley,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 136,1994,90
"Luisi, Luciano",Luna d'amore. Le più belle poesie d'amore d'ogni tempo e paese scelte e tradotte da un poeta d'oggi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 137,1994,92
"Goldoni, Carlo",Gl'innamorati,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 138,1994,91
"Moro, Tommaso",Utopia,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 139,1994,95
"De Maupassant, Guy",Le Horla e altri racconti dell'orrore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 140,1994,92
"Mazzarino, Cardinale Giulio",Breviario dei politici,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 141,1994,94
Buddha,Aforismi e discorsi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 142,1994,94
Donna,"Donna, mistero senza fine bello. La poesia femminile d'occidente dalla Grecia classica alle soglie del XX secolo",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 143,1994,97
"Fabbri, Diego",Processo a Gesù,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 144,1994,92
Aristofane,"Le commedie delle donne. Lisistrata, La festa delle donne, Le donne a Parlamento",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 145,1994,97
"Poe, Edgar Allan",Racconti dell'impossibile,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 146,1994,91
"Le Fanu, Joseph Sheridan",Tre casi del dr. Hesselius,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 147,1994,93
Anonimo Francofortese,Libretto della vita perfetta,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 148,1994,89
"Gervaso, Roberto",Aforismi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 149,1994,97
Blues,Antologia del blues. I più significativi canti d'amore e dolore dei neri schiavi d'America che hanno segnato la nascita della musica americana morderna,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 150,1994,93
"Strindberg, August",Inferno,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 151,1994,98
"Cicerone, Marco Tullio",L'arte di invecchiare,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 152,1994,97
Mamma,"Mamma, le più belle poesie a te dedicate",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 153,1994,90
"Schnitzler, Arthur",Il ritorno di Casanova,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 154,1994,94
"Tse-Tung, Mao","Citazioni. Il ""libretto rosso""",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 155,1994,97
"Wilde, Oscar",De Profundis,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 156,1994,94
"Feuerbach, Ludwig Andreas",L'essenza della religione,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 158,1994,89
"Hawthorne, Nathaniel",Racconti neri e fantastici,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 159,1994,97
"London, Jack",La sfida e altre storie di boxe,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 160,1994,96
"Saviane, Giorgio",L'inquisito,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 161,1994,92
"D'Annunzio, Giovanni",Motti dannunziani. Detti e parole d'ordine di un maestro di vita che hanno segnato un'epoca,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 162,1994,86
"Verri, Pietro",Osservazioni sulla tortura,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 163,1994,90
"Gogol', Nikolaj Vasil'evič","I racconti degli ""Arabeschi""",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 164,1994,96
"Kipling, Rudyard",Il risciò fantasma e altre storie fantastiche,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 165,1994,97
"Dostoevskij, Fëdor M.",Le notti bianche,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 166,1994,89
Molière,L'avaro,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 168,1994,97
"Nietzsche, Friedrich W.",Crepuscolo degli idoli,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 169,1994,96
Luciano di Samosata,Storia vera,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 170,1994,96
"Hesse, Herman",L'ultima estate di Klingson,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 171,1994,91
"Goethe, Johann Wolfgang",Massime,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 172,1994,93
"Adler, Alfred",Psicologia dell'omosessualità,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 173,1994,97
"Wire, H. - Albright, R.C. - Wright, S.F. - McClusky, T",Storie di streghe,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 174,1994,97
"Shakespeare, William",Sogno di una notte di mezza estate,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 175,1994,88
"De Montaigne, Michel Eyquem",Dizionario della sagezza,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 176,1994,95
"Rilke, Rainer Maria",Danze macabre,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 177,1994,93
Plutarco,Sull'amore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 178,1994,97
"Walpole, H. - Lee, V. - Onions, O. - James, H.R. - Crawford, F.M.",Fantasmi inglesi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 179,1994,96
"James, H. - Lawlor, H. - Freeman, M. - Quick, D. - Bierce, A.",Fantasmi americani,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 180,1994,91
"Le Fanu, J.S. - O'Brien, F.J. - Stoker, B.",Fantasmi irlandesi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 181,1994,91
"Gautier, Th. - Nodier, Ch. - Mérimée, P. - de Maupassant, G. - Zola, E.",Fantasmi francesi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 182,1994,92
"Capuana, L. - Gualdo, L. - Lauria, A. - Pirandello, L - Tarchietti, I. - Mazzarese, A.",Fantasmi italiani,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 183,1994,94
"Hoffmann, E.T.A. - Meyrink, G.",Fantasmi tedeschi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 184,1994,90
"Kipling, Rudyard",L'uomo che volle farsi re - I costruttori di ponti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 185,1994,88
Voltaire,Candido,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 186,1994,97
"Sallustio, Caio Crispo",La congiura di Catilina,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 188,1994,89
"Lawrence, D.H.",L'uomo che amava le isole - L'uomo che era morto,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 189,1994,92
"Eadie, A. - Stone, E. - Pilo, G.",Mal di luna. Racconti di Lupi Mannari,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 190,1994,89
"Rimbaud, Arthur",Illuminazioni,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 191,1994,97
"Tozzi, Federigo",Con gli occhi chiusi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 192,1994,97
"Maugham, William Somerset",Liza di Lambeth,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 193,1994,97
"Beccaria, Cesare",Dei delitti e delle pene - Commento di Voltaire,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 194,1994,98
Spirituals,Antologia degli spirituals,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 197,1994,91
"Abelardo, Pietro",Storia delle mie disgrazie - Lettere d'amore di Eloisa,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 199,1994,95
"Shakespeare, William",Macbeth,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 200,1994,92
"Gatto, Ludovico",Il Medioevo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 1,1994,89
"Filippani - Ronconi, Pio",Il buddhismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 2,1994,95
"Grimal, Pierre",La letteratura latina,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 3,1994,96
"Malizia, Enrico",Le droghe,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 4,1994,93
"Mauro, Walter",La storia del jazz,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 5,1994,89
"Michel, Henri",La seconda guerra mondiale,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 6,1994,94
"Reuchlin, Maurice",Storia della psicologia,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 7,1994,97
"Antonelli, Giuseppe",Storia di Roma antica. Dalle origini alla fine della Repubblica,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 9,1994,93
"Verdone, Mario",Il futurismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 10,1994,94
"Soustelle, Jacques",Gli Aztechi,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 11,1994,95
"Foglia, Serena",Il sogno e le sue interpretazioni,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 12,1994,95
"Quarantotto, Claudio",Dizionario della musica Pop & Rock,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 13,1994,95
"Bluche, F. - Rials, S. - Tulard, J.",La Rivoluzione francese,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 15,1994,93
"Colajanni, Napoleone",La Cina contemporanea. 1949/1995,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 16,1994,86
"David, Claude",Hitler e il nazismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 17,1994,92
"Godfryd, Michel",Dizionario di psicologia e psichiatria,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 18,1994,94
"Mauro, Walter",La musica americana. Dal song al rock,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 19,1994,85
"Escarpit, Robert",Sociologia della letteratura,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 20,1994,96
"Gatto Trocchi, Cecilia",Le sette in Italia,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 23,1994,88
"Suozzi, Roberto Michele",Le piante medicinali,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 24,1994,95
"Nassi, Enrico",La massoneria in Italia,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 25,1994,92
"Zevi, Bruno",Architettura. Concetti di una controstoria,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 26,1994,95
"Spagnoletti, Giacinto",Storia della letteratura francese,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 27,1994,84
"Renouvin, Pierre",La prima guerra mondiale,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 28,1994,92
"Brezzi, Francesca",Le grandi religioni,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 29,1994,87
"Morali-Daninos, André",Storia della sessualità,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 30,1994,96
"Teulon, Frédéric",Dizionario di economia,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 31,1994,96
"Carocci, Giampiero",Storia del fascismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 33,1994,90
"Mioli, Piero",Storia dell'opera lirica,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 34,1994,79
"Pisanti, Tommaso",Storia della letteratura americana,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 35,1994,94
"Filippani - Ronconi, Pio",L'induismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 36,1994,93
"Gatto, Ludovico",Le crociate,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 37,1994,92
"Lanuzza, Stefano",Storia della lingua italiana,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 38,1994,87
"Gatto Trocchi, Cecilia",La magia,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 39,1994,83
"Staccioli, Romolo A.",Gli Etruschi,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 41,1994,89
"Cangini, Franco",Storia della prima repubblica,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 42,1994,93
"Zevi, Bruno",Architettura della modernità,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 43,1994,97
"Foglia, Serena",I simboli del sogno,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 44,1994,89
"Duroselle, Jean-Baptiste - Mayeur, Jean-Marie",Storia del cattolicesimo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 45,1994,94
"Santangelo, Paolo",Storia della Cina. Dalle origini ai nostri giorni,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 46,1994,89
"Zarbo, Viviana",Storia del Far West,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 48,1994,93
"Sorge, Paola",Dizionario delle parole difficili,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 49,1994,94
"Gatto, Ludovico",Il federalismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 51,1995,95
"Verdone, Mario",Storia del cinema italiano,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 52,1995,94
"Privitera, G. Aurelio - Basta Donzetti, Giuseppina - Masaracchia, Agostino - Pretagostini, Roberto - Montanari, Franco",Storia della letteratura greca,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 53,1995,92
"Alatri, Paolo",Mussolini,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 54,1995,94
"Baldini, Massimo",Storia della comunicazione,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 55,1995,90
"D'Amoci, Masolino",Storia del teatro inglese,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 57,1995,91
"Rendina, Massimo",Italia 1943/1945. Guerra civile o Resistenza?,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 59,1995,95
"Freschi, Marino",Storia della letteratura tedesca,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 60,1995,94
"Zevi, Bruno",Controstoria dell'architettura in Italia. Paesaggi e città,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 61,1995,96
"Bragaglia, Cristina",Storia del cinema francese,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 62,1995,90
"Collotti, Enzo",La soluzione finale. Lo sterminio degli ebrei,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 64,1995,89
"Saccà, Antonio",Storia della sociologia,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 65,1995,88
"Guerrera, Manfredo",Storia del fumetto. Autori e personaggi dalle originia oggi,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 66,1995,93
"Carocci, Giampiero",Storia dell'Italia moderna. Dal 1861 ai nostri giorni,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 67,1995,94
"Crovetto, Pier Luigi",Storia della letteratura spagnola,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 68,1995,86
"Cerroni, Umberto",Il pensiero politico del Novecento,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 69,1995,92
"Chiara, olga",Il sonno e il sogno,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 70,1995,92
"Guerra, Adriano",la Russia postcomunista,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 71,1995,92
"Antonucci, Giovanni",Storia del teatro italiano,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 72,1995,92
"Di Giammatteo, Fernaldo",Dizionario del cinema. Cento grandi film,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 73,1995,93
"Gatto Trocchi, Cecilia",Tarocchi,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 74,1995,93
"Santangelo, Paolo",Storia del pensiero cinese,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 75,1995,91
"Pedullà, Walter",La narrativa italiana contemporanea. 1940/1990,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 76,1995,87
"Manacorda, Giuliano",Storia della letteratura italiana. Dalle origini al Quattrocento,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 77,1995,95
"Zevi, Bruno",Controstoria dell'architettura in Italia. Preistoria  - Alto Medioevo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 78,1995,97
"Colajanni, Napoleone",Storia della banca in Italia. Da cavour a Ciampi,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 79,1995,94
"Di Giammatteo, Fernaldo",Dizionario del cinema. Cento grandi attori,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 80,1995,96
"Brezzi, Francesca",Dizionario dei termini e dei concetti filosofici,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 81,1995,95
"Monicelli, Mino",La Repubblica di salò,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 83,1995,95
"Gatto, Ludovico",L'Italia nel Medioevo. Gli italiani e le loro città,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 84,1995,94
"Di Giammatteo, Fernaldo",Dizionario del cinema. Cento grandi registi,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 85,1995,97
"Manacorda, Giuliano - Gangemi, Giuseppe",Storia della letteratura italiana. Dal Cinquecento al settecento,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 86,1995,94
"Zevi, Bruno",Controstoria dell'architettura in Italia. Romantico - Gotico,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 87,1995,97
"Zevi, Bruno",Controstoria dell'architettura in Italia. Rinascimento - Manierismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 88,1995,97
"Cuomo, Franco",Storia ed epopea della cavalleria,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 90,1995,85
"Cerroni, Umberto",Il pensiero politicoitaliano,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 91,1995,88
"Del Guercio, Antonio",Storia dell'arte italiana nel XX secolo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 92,1995,82
"Schor, Ralph",L'Europa tra le due guerre. (1919 - 1939),Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 93,1995,90
"Manacorda, Giuliano",Storia della letteratura italiana. Ottocento e Novecento,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 94,1995,93
"Zevi, Bruno",Controstoria dell'architettura in Italia. Barocco - Illuminismo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 95,1995,97
"Favre, Henri",Gli Inca,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 98,1995,96
"Arena, Leonardo Vittorio",La filosofia indiana,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 99,1995,92
"Zizola, Giancarlo",I papi del XX secolo,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 100,1995,92
"Zevi, Bruno",Controstoria dell'architettura in Italia. Ottocento -Novecento,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 101,1996,97
"Zevi, Bruno",Controstoria dell'architettura in Italia. Dialetti architettonici,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 102,1996,80
"Spendel, Giovanna",Storia della letteratura russa,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 103,1996,89
"Carocci, Giampiero",Storia della guerra civile americana,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 104,1996,92
"Prospero, Michele",Il pensiero politico della destra,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 105,1996,93
"Stuart, Alan",I sondaggi di opinione. Idee per il campionamento,Newton Compton editori,Il sapere - Enciclopedia tascabile - N. 122,1996,96
"Dostoevskij, Fëdor M.",I fratelli Karamàzov - Volume primo,Club degli Editori - Milano,Caleidoscopio - N. 30,1964,410
"Dostoevskij, Fëdor M.",I fratelli Karamàzov - Volume secondo,Club degli Editori - Milano,Caleidoscopio - N. 31,1964,561
"Flaubert, Gustave",Madame Bovary,Arnoldo Mondadori Editore,Oscar classici,2001,423
"Guerri, Giordano Bruno",Gli italiani sotto la chiesa,Arnoldo Mondadori Editore,Bestsellers,1995,327
"D'Avenia, Alessandro",Bianca come il latte rossa come il sangue,Edizione Mondolibri,,2013,254
"Goethe, Johann Wolfgang",I dolori del giovane Werther,Garzanti Editore,I grandi libri - N.6,2007,121
"Bach, Richard",Il cielo ti cercherà,Rizzoli Editore,Rizzoli best,2009,153
"Scott, Walter",Ivanhoe,Arnoldo Mondadori Editore,Oscar grandi classici,2002,553
"Tolkien, John Ronald Reuel",Il Signore degli Anelli. Le due torri. Trilogia II,Bompiani ,Tascabili Bompiani - I libri di J.R.R. Tolkien,2005,416
"Baricco, Alessandro",Tre volte all'alba,Feltrinelli,I Narratori,2012,94
"McCourt, Frank",Le ceneri di Angela,Adelphi Edizioni,gli Adelphi,2000,376
"London, Jack",Martin Eden,Editrice La Stampa,I Classici La Stampa 10,2003,382
"James, Henry",Il giro di vite,Editrice La Stampa,I Classici La Stampa 13,2003,167
"De Rienzo, Giorgio",Per amore di Lucia,Rusconi Libri,,1985,194
"Francis, Clare",Cielo di notte,Edizione CDE spa - Milano,,1984,597
"Rowling, J. K.",Harry Potter. E il prigioniero di Azkaban,Adriano Salani Editore,PRIMA EDIZIONE,2000,366
"Rowling, J. K.",Harry Potter. E la camera dei segreti,Adriano Salani Editore,PRIMA EDIZIONE,1999,307
"Dumas, Alexandre",La dama delle camelie,Arnoldo Mondadori Editore,,1969,337
"Austen, Jane",Orgoglio e pregiudizio,Rizzoli Editore,"Edizione riservata: Annabella, Novella, La Donna",1961,363
"Sereni, Vittorio",Poesie,Giulio Einaudi editore,Einaudi Tascabili. Poesia,2002,209
"Verga, Giovanni",I Malavoglia,Arnoldo Mondadori Editore,Oscar classici,2001,272
"Austen, Jane",Orgoglio e pregiudizio,Arnoldo Mondadori Editore,Oscar classici,2000,348
"De Balzac, Honoré",Eugénie Grandet,Arnoldo Mondadori Editore,Oscar classici,2005,196
"Pennac, Daniel",Come un romanzo,Feltrinelli,Idee/ Feltrinelli,1997,139
Elio e le Storie Tese,Fiabe centrimetropolitane,Bompiani ,,2004,120
"Magnani, Luigi",Il nipote di Beethoven,Giulio Einaudi editore,,1973,152
"Segal, Erich",Love Story,Garzanti Editore,,1971,134
"Brown, Dan",Il codice Da Vinci,Arnoldo Mondadori Editore,Omnibus,2004,523
"Svevo, Italo",Senilità,Gruppo Ugo Mursia Editore,GUM - Nuova serie,1990,236
"Salgari, Emilio",Il re del mare,Garzanti Editore,I Garzanti,1973,319
"Joyce, James A.",Gente di Dublino,Garzanti Editore,i grandi libri Garzanti,2000,213
