AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"De Maupassant, Guy",Tutti i racconti. Vol. II,Newton Compton editori,Grandi Tascabili Economici Newton,1995,498
"De Maupassant, Guy",Tutti i racconti. Vol. III,Newton Compton editori,Grandi Tascabili Economici Newton,1995,457
"De Maupassant, Guy",Tutti i racconti. Vol. IV,Newton Compton editori,Grandi Tascabili Economici Newton,1995,472
"De Maupassant, Guy",Bel-Ami,Editrice La Stampa,I Classici La Stampa 5,2003,318
"De Saint-Exupéry, Antoine",Il Piccolo Principe,Newton Compton editori,,2016,137
"Deledda, Grazia",Cenere,Edizioni San Paolo,Edizione Buc,2012,315
"Deledda, Grazia",Canne al vento,Newton Compton editori,Biblioteca Economica Newton. Classici,2003,188
"Dell'Antonio, Annamaria",Cambiare genitori. Le problematiche psicologiche dell'adozione,Feltrinelli,Feltrinelli economica. I nuovi testi,1980,153
"Descartes, René",Discorso del metodo,Corriere della sera,I classici del pensiero libero,2011,82
"Dessì, Giuseppe",Il disertore,Arnoldo Mondadori,Oscar narrativa,1988,169
"Dessì, Giuseppe",Paese d'ombre,Arnoldo Mondadori,,1974,351
"Di Capua, Donato",L'uomo che vendeva ricordi,Casa Editrice Kimerik,,2017,275
"Di Fulvio, Luca",Kosher mafia,Corriere della sera,Inediti d'autore,2011,93
"Diatrich, Paolo",Il bambino del treno,Edizioni Piemme,,2017,224
"Dickens, Charles",Davide Copperfield; volume II,Arnoldo Mondadori Editore,I libri del pavone,1965,442
"Dickens, Charles",Le avventure di Oliver Twist,Rizzoli Editore,Bur - Biblioteca Universale Rizzoli,1988,473
"Dickens, Charles",Canto di Natale,R.C.S. Libri e Grandi Opere,Edizione CDE,1995,121
"Dickens, Charles",Le cento pagine più belle,Case Editrici,Ex Libris,1982,114
"Diderot, Denis",Lettera sui sordomuti,Ugo Guanda Editore,Testi e documenti della fenice,1984,226
"Diderot, Denis",La monaca,Garzanti Editore,i grandi libri Garzanti,2002,199
"Dispenza, Gioacchino",Dice in proverbio… Motti popolari di ieri e di oggi,Edizioni Paoline,,1988,524
"Dostoevskij, Fëdor M.",Delitto e castigo. Volume primo,Arnoldo Mondadori Editore,Famiglia cristiana,1992,328
"Dostoevskij, Fëdor M.",Delitto e castigo. Volume secondo,Arnoldo Mondadori Editore,Famiglia cristiana,1992,643
"Dostoevskij, Fëdor M.",Il giocatore,BUR - Biblioteca Universale Rizzoli,Superbur Classici,1999,212
"Dostoevskij, Fëdor M.",Le notti bianche - Il giocatore,Fabbri Editori,,1984,269
"Dostoevskij, Fëdor M.",Ragazzi,Petrini,,1970,232
"Dostoevskij, Fëdor M.",L'idiota,Garzanti Editore,i grandi libri Garzanti,2002,709
"Dostoevskij, Fëdor M.",Il giocatore,Tascabili Bompiani,Bompiani per L'Espresso,1987,152
"Dostoevskij, Fëdor M.",L'idiota. Volume I,Garzanti Editore,I Grandi Libri,1975,405
"Duiker, K. Sello",Tredici centesimi,l'ancora,Biblioteca di Cargo,2005,158
"Dumas, Alexandre",I tre moschettieri,Fabbri Editori,I classici del romanzo storico,2001,650
"Dumas, Alexandre",La signora delle camelie,Feltrinelli,Universale Economica Feltrinelli / Classici,2019,280
"Dumas, Alexandre",I tre moschettieri,Arnoldo Mondadori Editore,Oscar classici,2007,689
"Duras, Marguerite",Il dolore,Feltrinelli,I Narratori,1985,157
"Dyer, Wayne W.",La saggezza di ogni giorno,Casa Esitrice Corbaccio,,2002,175
"Eco, Umberto",Baudolino,Bompiani,,2000,526
"Eco, Umberto",Il nome della rosa,Bompiani,,2018,618
"Eco, Umberto",Sulla letteratura,Bompiani,Tascabili Bompiani,2008,359
"Eggers, Dave",Zeitoun,Arnoldo Mondadori Editore,Strade blu,2010,311
Erasmo Da Rotterdam,Elogio della follia,Feltrinelli,Universale Economica Feltrinelli / Classici,2020,129
"Esposito, Mauro",Le mie due guerre. Ho denunciato la 'ndrangheta. Ho combattuto da solo. Ho vinto,La nave di Teseo + editore,,2019,181
"Evans, Nicholas",L'uomo che sussurrava ai cavalli,Rizzoli,Superpocket,1999,392
"Facci, Filippo",Misteri per orchestra,Arnoldo Mondadori Editore,Strade blu - Non fiction,2011,130
"Falco, Gianni",Gocce di vita. Con prefazione di Agnese Moro,L'Artistica Editrice,,2017,327
"Falcone, Giovanni - Padovani, Marcelle",Cose di cosa nostra,Edizione CDE spa - Milano,,1994,171
"Fallet, René",Sangue in periferia,Cino del Duca Editore,i fuori legge,1959,203
